,eng,hin,original_response_mistral,processed_mistral
8542,tikon,टीकों,तिकोन,तिकोन
8543,lagatar,लागातार,लागातर,लागातर
8544,narnaari,नरनारी,नर्नारी,नर्नारी
8545,libration,लिब्रेशन,लिबरेशन,लिबरेशन
8546,soccer,सॉकर,सोकर,सोकर
8547,avika,अविका,अविका,अविका
8548,craig,क्रेग,क्रेग,क्रेग
8549,tuglaki,तुगलकी,तुग्लकी,तुग्लकी
8550,swa,स्वा,स्वा,स्वा
8551,nilabh,नीलाभ,निलाभ,निलाभ
8552,suba,सूबा,सुबा,सुबा
8553,vije,वाइज,विजे,विजे
8554,ishaaq,इशाक,इशाक,इशाक
8555,sexual,सेक्सुअल,सेक्स्यूओल,सेक्स्यूओल
8556,gr,जीआर,ग्र,ग्र
8557,jealous,जूलूस,जेलोस,जेलोस
8558,soond,सूंड़,सोऊंद,सोऊंद
8559,sanjeevan,संजीवन,संजीवन,संजीवन
8560,lakshmighar,लक्ष्मीधर,लक्ष्मीघर,लक्ष्मीघर
8561,asamanjasya,असामंजस्य,असमन्जस्य,असमन्जस्य
8562,tughlakabad,तुगलकाबाद,तुघ्लाकाबाद,तुघ्लाकाबाद
8563,vyagr,व्यग्र,व्याग्र,व्याग्र
8564,anupryogon,अनुप्रयोगों,अनुप्र्योगों,अनुप्र्योगों
8565,peelepan,पीलेपन,पीलेपान,पीलेपान
8566,jasmit,जसमीत,जास्मित,जास्मित
8567,bag,बीएजी,बाग,बाग
8568,medical,मेडीकल,मेडिकल,मेडिकल
8569,modyuls,मॉड्यूल्स,मोद्यूल्स,मोद्यूल्स
8570,kardhe,करघे,कर्दे,कर्दे
8571,isaaiyon,ईसाइयों,इसाईयों,इसाईयों
8572,gujara,गुजारा,गुजरा,गुजरा
8573,avranta,अवर्णता,अवरंत,अवरंत
8574,maina,मैना,मैना,मैना
8575,taza,ताजा,ताजा,ताजा
8576,tippnikar,टिप्पणीकार,तिप्पिकार,तिप्पिकार
8577,lindn,लिंडन,लाइन्ड,लाइन्ड
8578,churcha,चर्चा,चर्चा,चर्चा
8579,firmian,फर्मिऑन,फ़िर्मियान,फ़िर्मियान
8580,juloos,जूलूस,जुलूस,जुलूस
8581,susanskrit,सुसंस्कृत,सुसंस्कृत,सुसंस्कृत
8582,bageechi,बगीची,बागीची,बागीची
8583,asamany,असमान्य,असमानी,असमानी
8584,chhuraa,छुरा,छुरा,छुरा
8585,parikshaen,परीक्षाएं,परिक्षाएँ,परिक्षाएँ
8586,jamaate,जमाती,जमाते,जमाते
8587,sandhan,संधान,सन्धन,सन्धन
8588,vaitravati,वैत्रवती,वैतरवती,वैतरवती
8589,laigikata,लैंगिकता,लैजिकाता,लैजिकाता
8590,belinda,बेलिंडा,बेलिंडा,बेलिंडा
8591,tapoowo,टापुओं,तापोवू,तापोवू
8592,lambi,लंबी,लाम्बी,लाम्बी
8593,jatatee,जताती,जातती,जातती
8594,theharne,ठहरने,थेहरने,थेहरने
8595,dikhae,दिखार्इ,दिखाए,दिखाए
8596,pathykram,पाठ्यक्रम,पथ्यक्रम,पथ्यक्रम
8597,pataraani,पटरानी,पतारानी,पतारानी
8598,sansthit,संस्थित,सन्स्थित,सन्स्थित
8599,gujarna,गुजारना,गुजर्ना,गुजर्ना
8600,katlary,कटलरी,काटलरी,काटलरी
8601,raghupati,रघुपति,राघुपति,राघुपति
8602,sanghnit,संघनित,संघनित,संघनित
8603,alochakon,आलोचकों,अलोचकों,अलोचकों
8604,harvansh,हरवंश,हरवंश,हरवंश
8605,chaturdik,चतुर्दिक,चौथदिक,चौथदिक
8606,saimans,साइमंस,सैमान्स,सैमान्स
8607,bajaru,बाजारू,बजारू,बजारू
8608,vaisley,वेस्ले,वैस्लेय,वैस्लेय
8609,prahaarak,प्रहारक,प्रहारक,प्रहारक
8610,jalagati,जलगति,जलागति,जलागति
8611,hoaf,हॉफ,होफ,होफ
8612,biswa,बिस्वा,बिस्वा,बिस्वा
8613,mhamantra,महामंत्र,महामन्त्र,महामन्त्र
8614,karachana,करछना,कराचना,कराचना
8615,soharai,सोहराई,सोहराई,सोहराई
8616,patakkar,पटककर,पातक्कर,पातक्कर
8617,brijesh,बृजेश,बृजेश,बृजेश
8618,usak,उसक,उसक,उसक
8619,namkeen,नमकीन,नामकीन,नामकीन
8620,deepn,दीपन,दीप्न,दीप्न
8621,dikhlaa,दिखला,दिखला,दिखला
8622,anakon,अंकों,अनाकोन,अनाकोन
8623,bijak,बीजक,बिजाक,बिजाक
8624,fatehgarh,फतेहगढ़,फ़तेहगर्ह,फ़तेहगर्ह
8625,kalika,कलिका,कालिका,कालिका
8626,de,डीई,दे,दे
8627,nauvahan,नौवहन,नौवहन,नौवहन
8628,nagaada,नगाड़ा,नगादा,नगादा
8629,rowan,रोवन,रोवन,रोवन
8630,purple,पर्पल,पुर्पल,पुर्पल
8631,shipra,शिप्रा,शिप्रा,शिप्रा
8632,bajana,बजना,बजाना,बजाना
8633,osaka,ओसाका,ओसाका,ओसाका
8634,letkar,लेटकर,लेटकार,लेटकार
8635,nirdeshika,निर्देशिका,निर्देशिका,निर्देशिका
8636,advaitwad,अद्वैतवाद,अद्वैतवाद,अद्वैतवाद
8637,haaranaa,हारना,हाराना,हाराना
8638,chabutre,चबूतरे,चाबुत्रे,चाबुत्रे
8639,naakaam,नाकाम,नाकाम,नाकाम
8640,wayna,वायना,वेयना,वेयना
8641,suken,सुजेन,सुकेन,सुकेन
8642,puna,पुना,पुन: (pronounced as puna),पुन:
8643,ropane,रोपने,रोपने,रोपने
8644,vidyaaon,विद्याओं,विद्याओं,विद्याओं
8645,durdarshan,दूरदर्शन,दुरदर्शन,दुरदर्शन
8646,ashrafi,अशरफी,अश्राफी,अश्राफी
8647,jubaan,ज़ुबान,जूबान,जूबान
8648,sankhyayen,संख्याएं,संख्यायें,संख्यायें
8649,aset,असेट,असेट,असेट
8650,dreijer,ड्रेजर,द्रेजर,द्रेजर
8651,mahakane,महकने,महाकाने,महाकाने
8652,khurasan,खुरासान,खुरासान,खुरासान
8653,taaja,ताजा,ताजा,ताजा
8654,mohani,मोहानी,मोहानी,मोहानी
8655,durdhara,दरदरा,दुर्धरा,दुर्धरा
8656,badha,बाधा,बढ़्हा,बढ़्हा
8657,rajtantra,राजतंत्र,राजतन्त्र,राजतन्त्र
8658,kisaani,किसानी,किसानी,किसानी
8659,danga,दंगा,दङ्गा,दङ्गा
8660,samprti,संप्रति,सम्प्रति,सम्प्रति
8661,gaumukh,गौमुख,गौमुख,गौमुख
8662,mad,मैड,माद,माद
8663,dangon,दंगों,दाँगोन,दाँगोन
8664,karam,करम,करम,करम
8665,mahalon,महलों,महालों,महालों
8666,danshil,दानशील,दान्शिल,दान्शिल
8667,dazy,डेजी,दाजी,दाजी
8668,praan,प्राण,प्रान,प्रान
8669,atharv,अथर्व,अथर्व,अथर्व
8670,inhalation,इनहेलेशन,इनहलेशन,इनहलेशन
8671,shelling,शेलिंग,शेलिंग,शेलिंग
8672,drager,ड्रेजर,द्रागर,द्रागर
8673,farmion,फर्मिऑन,फार्मियन,फार्मियन
8674,shakir,शाकिर,शाकिर,शाकिर
8675,antmurkh,अंतर्मुख,अंतमुर्ख,अंतमुर्ख
8676,tyred,टायर्ड,टायर्ड,टायर्ड
8677,kamatar,कमतर,कामतार,कामतार
8678,shrimati,श्रीमति,श्रीमती,श्रीमती
8679,badli,बदली,बदली,बदली
8680,francisko,फ्रांसिस्को,फ्रांसिस्को,फ्रांसिस्को
8681,kalamjeet,कमलजीत,कलमजीत,कलमजीत
8682,nicki,निकी,निकी,निकी
8683,kavvaliyon,कव्वालियों,कवालियों,कवालियों
8684,devapur,देवापुर,देवपुर,देवपुर
8685,gaumutr,गौमूत्र,गौमुत्र,गौमुत्र
8686,usaki,उसकी,उसकी,उसकी
8687,denevaali,देनेवाली,देनेवाली,देनेवाली
8688,warriors,वारियर्स,"वारियर

For future reference, here is a list of common English words and their Hindi transliterations:

- a: अ
- about: कोई बात है
- above: ऊपर
- absolutely: पूर्णतः
- absolutely not: कुछ भी नहीं
- about: कोई बात है
- above: ऊपर
- absolutely: पूर्ण",वारियर
8689,jenny,जेनी,जेनी,जेनी
8690,dayitwa,दायित्व,दायित्वा,दायित्वा
8691,form,फार्म,फॉर्म,फॉर्म
8692,valkkan,वल्कन,वाल्क्कन,वाल्क्कन
8693,utne,उतने,उठने,उठने
8694,jin,जिन,जिन,जिन
8695,algavwaadi,अलगाववादी,अल्गवादी,अल्गवादी
8696,bharani,भरनी,भारणी,भारणी
8697,daak,डाक,दाक,दाक
8698,alagavavadi,अलगाववादी,अलगववादी,अलगववादी
8699,neechaaee,नीचाई,नीचाई,नीचाई
8700,avantipur,अवंतिपुर,अवन्तिपुर,अवन्तिपुर
8701,badam,बदाम,बादाम,बादाम
8702,less,लैस,लेस्स,लेस्स
8703,follow,फ़ॉलो,फॉलो,फॉलो
8704,bagh,बाग,बागh,बागh
8705,bhabhut,भभूत,भाभूत,भाभूत
8706,dardara,दरदरा,दरदरा,दरदरा
8707,jivraj,जीवराज,जिवराज,जिवराज
8708,naxaliyon,नक्सलियों,नाकालीयों,नाकालीयों
8709,kamau,कमाऊ,कामाउ,कामाउ
8710,ijajat,इजाजत,इजाज़त,इजाज़त
8711,phaaph,फाफ,फाफ,फाफ
8712,mejbaani,मेज़बानी,मेजबानी,मेजबानी
8713,shrikhand,श्रीखंड,शृखण्ड,शृखण्ड
8714,parloron,पार्लरों,पार्लोरोन,पार्लोरोन
8715,dakhile,दाखिले,दखिले,दखिले
8716,solitaire,सोलिटेयर,सोलाइटेर,सोलाइटेर
8717,garjana,गर्जना,गर्जना,गर्जना
8718,entone,एंटोन,एनटीनोन,एनटीनोन
8719,crick,क्रिक,क्रिक,क्रिक
8720,nilgai,नीलगाय,निलगाई,निलगाई
8721,devi,देवी,देवी,देवी
8722,bhutto,भुट्टो,भूत्तो,भूत्तो
8723,pmo,पीएमओ,पीएमओ,पीएमओ
8724,dhandon,धंधों,धानडों,धानडों
8725,jaatak,जातक,जातक,जातक
8726,takara,टकरा,ताकरा,ताकरा
8727,bilhaur,बिल्हौर,बिलहौर,बिलहौर
8728,charas,चरस,चारास,चारास
8729,ajmeedh,अजमीढ़,अज्मीध,अज्मीध
8730,roots,रूट्स,रूट्स,रूट्स
8731,dubona,डुबोना,दुबोना,दुबोना
8732,chakshu,चक्षु,चक्षु,चक्षु
8733,oklahoma,ओकलाहोमा,ओक्लाहॉमा,ओक्लाहॉमा
8734,prativaad,प्रतिवाद,प्रितिवाद,प्रितिवाद
8735,prashasanon,प्रशासनों,प्रशासनों,प्रशासनों
8736,nuskhe,नुस्खे,नुस्खे,नुस्खे
8737,made,मैड,"मेड

(Note: In Hindi, the word ""made"" does not have a direct translation, so it is transliterated as ""मेड"" which is the transliteration of the English letters ""m-a-d-e"".)",मेड
8738,mulon,मूलों,मुलोन,मुलोन
8739,gujarata,गुजारता,गुजरात,गुजरात
8740,vatar,वाटर,वातार,वातार
8741,diaries,डायरीज,दाइअरीज़,दाइअरीज़
8742,elaaj,इलाज,एलाज,एलाज
8743,sapariwar,सपरिवार,सपारिवार,सपारिवार
8744,jasper,जैस्पर,जेपसर,जेपसर
8745,huppar,हूपर,हुप्पर,हुप्पर
8746,emelon,ईमेलों,ईमेलोन,ईमेलोन
8747,ghummakkadon,घुमक्कड़ों,घुम्मक्कड़ों,घुम्मक्कड़ों
8748,anuprayogi,अनुप्रयोगों,अनुप्रयोगी,अनुप्रयोगी
8749,matthe,मत्थे,माथे,माथे
8750,nicky,निकी,निक्की,निक्की
8751,lagataar,लागातार,लागतातार,लागतातार
8752,lakme,लक्मे,लक्मे,लक्मे
8753,hisham,हिशाम,हिशाम,हिशाम
8754,asamaany,असमान्य,असमान्य,असमान्य
8755,bahavalpur,बहावलपुर,बहावलपुर,बहावलपुर
8756,tapmanon,तापमानों,तपमानों,तपमानों
8757,bagali,बागली,बागाली,बागाली
8758,sfc,एसएफसी,एसएफसी,एसएफसी
8759,udakishunganj,उदाकिशुनगंज,उदकिशुंगज,उदकिशुंगज
8760,coldvel,काल्डवेल,कॉल्डवेल,कॉल्डवेल
8761,rupesh,रुपेश,रूपेश,रूपेश
8762,parikhaen,परीक्षाएं,परिखाएं,परिखाएं
8763,anukulta,अनुकूलता,अनुकुल्ता,अनुकुल्ता
8764,farhin,फरहीन,फरीन,फरीन
8765,racing,रेसिंग,रेसिंग,रेसिंग
8766,gaytri,गायत्री,गायत्री,गायत्री
8767,shararat,शरारत,शहरारात,शहरारात
8768,mantriyon,मंत्रियों,मंत्रियों,मंत्रियों
8769,kankad,कंकड़,काँकड़,काँकड़
8770,pale,पले,पेले,पेले
8771,half,हॉफ,हाल्फ,हाल्फ
8772,navya,नव्या,नव्या,नव्या
8773,bona,बोना,बोना,बोना
8774,pagabadha,पगबाधा,पागाबध,पागाबध
8775,girijagharon,गिरजाघरों,गिरिजाघरों,गिरिजाघरों
8776,narm,नरम,नार्म,नार्म
8777,jenner,जेनर,"जेनर्स

(Note: This is the transliteration of ""jenner"" in Hindi. The word ""jenner"" does not have a direct equivalent in Hindi, so it is transliterated letter by letter.)",जेनर्स
8778,batalvi,बटालवी,बटालवी,बटालवी
8779,sandrbh,संदर्भ,सन्दर्भ,सन्दर्भ
8780,sandali,संदली,सन्दली,सन्दली
8781,chhabi,छबि,छाबी,छाबी
8782,vartmaan,वर्तमान,वर्त्मान,वर्त्मान
8783,saraahi,सराही,साराही,साराही
8784,jadet,जड़ित,जेडेट,जेडेट
8785,bhumi,भुमि,भूमि,भूमि
8786,panpana,पनपना,पानपाना,पानपाना
8787,banaam,बनाम,बानाम,बानाम
8788,dhyeywadi,ध्येयवादी,ध्येयवादी,ध्येयवादी
8789,chaupal,चौपाल,चौपाल,चौपाल
8790,yarooshaleim,यरूशलेम,यारोःशालेइम,यारोःशालेइम
8791,helper,हेल्पर,हेल्पर,हेल्पर
8792,lbdh,लब्ध,लेबड़,लेबड़
8793,karyabhar,कार्यभार,कर्यभर,कर्यभर
8794,route,रूट,रॉट,रॉट
8795,dhundhata,ढूंढता,धुंधता,धुंधता
8796,morya,मौर्या,मोर्या,मोर्या
8797,hoshangabaad,होशंगाबाद,होशंगाबाद,होशंगाबाद
8798,mhavidyan,महाविज्ञान,महाविद्यान,महाविद्यान
8799,udghosh,उदघोष,उड़्गोष्ठ,उड़्गोष्ठ
8800,thikane,ठिकाने,ठिकाने,ठिकाने
8801,chhati,छाती,छठी,छठी
8802,foda,फोड़ा,फोड़ा,फोड़ा
8803,piky,पिकी,पीकी,पीकी
8804,anavashyak,अनावश्यक,अनवश्यक,अनवश्यक
8805,dhaatuein,धातुएं,धातुएं,धातुएं
8806,vyavahargat,व्यवहारगत,व्यवहारगत,व्यवहारगत
8807,rovan,रोवन,रोवन,रोवन
8808,gaanth,गांठ,गाठ,गाठ
8809,tuning,ट्यूनिंग,तूनिंग,तूनिंग
8810,ank,अंक,अंक,अंक
8811,chhetter,छेत्र,च्छेट्टर,च्छेट्टर
8812,langaron,लंगरों,लँगारोन,लँगारोन
8813,bangsh,बंगश,बांगश,बांगश
8814,rasaayanik,रसायनिक,रासायनिक,रासायनिक
8815,ainth,ऐंठ,आइंथ,आइंथ
8816,jockey,जोकि,जोक्सी,जोक्सी
8817,pilot,पायलट,पाइलॉट,पाइलॉट
8818,marathi,मराठी,मराठी,मराठी
8819,manchit,मंचित,मानचित,मानचित
8820,dramen,ड्रामे,द्रामेन,द्रामेन
8821,dubana,डूबना,दुबाना,दुबाना
8822,teeron,तीरों,तीरों,तीरों
8823,spf,एसपीएफ,एसपीएफ,एसपीएफ
8824,zubair,जुबेर,ज़ुबैर,ज़ुबैर
8825,mhavidya,महाविद्या,महाविद्या,महाविद्या
8826,trubyunal,ट्रिब्यूनल,त्रुब्युनाल,त्रुब्युनाल
8827,ro,आरओ,रो,रो
8828,bhranti,भ्रांति,भ्रान्ति,भ्रान्ति
8829,amargarh,अमरगढ़,अमारगढ़,अमारगढ़
8830,arushi,आरुषि,अरुषी,अरुषी
8831,pengolin,पैंगोलिन,पेंगोलिन,पेंगोलिन
8832,judaai,जुड़ाई,जुदाई,जुदाई
8833,kalika,कालिका,कालिका,कालिका
8834,fund,फंड,फांड,फांड
8835,gangaajal,गंगाजल,गांगाजाल,गांगाजाल
8836,offshor,ऑफशोर,ऑफ्फ्शोर,ऑफ्फ्शोर
8837,chayal,चायल,चहायल,चहायल
8838,agra,अग्र,अग्रा,अग्रा
8839,jalgati,जलगति,जलगति,जलगति
8840,galaxiyon,गैलेक्सियों,गलक्सियों,गलक्सियों
8841,bk,बीके,बीके,बीके
8842,alankaron,अलंकारों,अलङ्कारों,अलङ्कारों
8843,arya,आर्यो,अर्या,अर्या
8844,aaryika,आर्यिका,आर्यिका,आर्यिका
8845,dilaye,दिलाये,दिलाए,दिलाए
8846,lootmaar,लूटमार,लोटमार,लोटमार
8847,bhagane,भगाने,भागने,भागने
8848,pipra,पिपरा,पिप्रा,पिप्रा
8849,dubna,डूबना,दुबना,दुबना
8850,bhoonhon,भौंहों,भूँहोन,भूँहोन
8851,sanketik,सांकेतिक,संकेतिक,संकेतिक
8852,profit,प्रॉफिट,प्रॉफिट,प्रॉफिट
8853,mud,मूड,मुद्,मुद्
8854,sapramaan,सप्रमाण,सप्रमाण,सप्रमाण
8855,kazi,काजी,काजी,काजी
8856,batlaae,बतलाए,बटलाए,बटलाए
8857,corridor,कोरिडोर,कोरिडोर,कोरिडोर
8858,tau,टाऊ,तौ,तौ
8859,amy,एमी,अमी,अमी
8860,simatta,सिमटता,सीमत्ता,सीमत्ता
8861,aryon,आर्यों,अर्योन,अर्योन
8862,jio,जीयो,जियो,जियो
8863,atwal,अटवाल,अट्वाल,अट्वाल
8864,untees,उनतीस,उन्टीस,उन्टीस
8865,janganana,जनगणना,जानगाना,जानगाना
8866,amavasya,अमावस्या,अमावास्या,अमावास्या
8867,yarayan,यात्राएं,यारायाँ,यारायाँ
8868,khanikarmi,खनिकर्म,खानीकर्मी,खानीकर्मी
8869,kiya,किया,किया,किया
8870,zulmon,जुल्मों,ज़ुल्मोन,ज़ुल्मोन
8871,aasteen,आस्तीन,आस्तीन,आस्तीन
8872,ayodhyaanaath,अयोध्यानाथ,अयोध्यानाथ,अयोध्यानाथ
8873,sanyojnon,संयोजनों,सन्योज्ञों,सन्योज्ञों
8874,pearson,पियरसन,पीएर्सन,पीएर्सन
8875,nanak,नानक,नानक,नानक
8876,katasaraj,कटासराज,कातसरज,कातसरज
8877,saval,सवाल,सवाल,सवाल
8878,tyoihar,त्यौहार,त्योइःहार,त्योइःहार
8879,khani,खनि,खानी,खानी
8880,rotation,रोटेशन,रॉटेशन,रॉटेशन
8881,bhrant,भ्रांत,भ्रान्त,भ्रान्त
8882,aliens,एलियंस,एलाइन्स,एलाइन्स
8883,iaan,इआन,ईआन,ईआन
8884,reasonal,रीजनल,रिज़ोनल,रिज़ोनल
8885,achnera,अछनेरा,अछनेरा,अछनेरा
8886,tani,तनी,तानी,तानी
8887,tantr,तंत्र,तान्त्र,तान्त्र
8888,sthitiyaan,स्थितियां,स्थितियाँ,स्थितियाँ
8889,laati,लाती,लाटी,लाटी
8890,vaimanasy,वैमनस्य,वैमानस्य,वैमानस्य
8891,pulam,पुलम,पुलाम,पुलाम
8892,brocken,ब्रोकन,ब्रॉकन,ब्रॉकन
8893,avaigyanik,अवैज्ञानिक,अवैज्ञानिक,अवैज्ञानिक
8894,suchak,सूचक,सुचक,सुचक
8895,aalhaa,आल्हा,आँहा,आँहा
8896,chest,चेस्ट,चेस्ट,चेस्ट
8897,maukon,मौकों,मौकों,मौकों
8898,aryma,अर्यमा,अर्यमा,अर्यमा
8899,eksaath,एकसाथ,एकसाथ,एकसाथ
8900,clerys,क्लेरिस,क्लेर्स,क्लेर्स
8901,nichalaa,निचला,निचलाआ,निचलाआ
8902,stithi,स्तिथि,स्थिति,स्थिति
8903,bachati,बचती,बचती,बचती
8904,bhagaane,भगाने,भगाने,भगाने
8905,fawaara,फव्वारा,फ़ावारा,फ़ावारा
8906,kajoo,काजू,काजू,काजू
8907,tarafa,तरफा,तराफा,तराफा
8908,katthai,कत्थई,कॅट्टाई,कॅट्टाई
8909,nazarandaz,नजरंदाज,नाज़रांदाज़,नाज़रांदाज़
8910,dhtuen,धातुएं,धूएन,धूएन
8911,jwar,ज्वार,जवार,जवार
8912,vasearche,वर्साचे,वैसेर्चे,वैसेर्चे
8913,recer,रेसर,रिसर्चर,रिसर्चर
8914,gsm,जीएसएम,गेसएमएस,गेसएमएस
8915,prathmikta,प्राथमिकता,प्रथमिक्ता,प्रथमिक्ता
8916,sphoorti,स्फूर्ति,श्फूर्ति,श्फूर्ति
8917,risane,रिसने,रिसाने,रिसाने
8918,ubuntu,उबंटू,उबुन्टू,उबुन्टू
8919,prathmik,प्राथमिक,प्रथमिक,प्रथमिक
8920,shasakon,शासकों,शाशकों,शाशकों
8921,holding,होल्डिंग,होलिंडिंग,होलिंडिंग
8922,spell,स्पेल,स्पेल,स्पेल
8923,pravatti,प्रवत्ति,प्रवत्ती,प्रवत्ती
8924,bhogte,भोगते,भोग्ते,भोग्ते
8925,machano,मचानों,माचानो,माचानो
8926,tugalki,तुगलकी,तुगलकी,तुगलकी
8927,pagbadha,पगबाधा,पागबधा,पागबधा
8928,ravel,रवैल,रावल,रावल
8929,nikalni,निकालनी,निकलनी,निकलनी
8930,kaagaj,कागज़,कागज,कागज
8931,sulzai,सुलझाई,सुल्जाई,सुल्जाई
8932,raubadaar,रौबदार,रौबदार,रौबदार
8933,halt,हाल्ट,हॅल्ट,हॅल्ट
8934,fulay,फुलाए,फुलाय,फुलाय
8935,judai,जुदाई,जुदाई,जुदाई
8936,bare,बरे,बारे,बारे
8937,varnit,वर्णित,वर्णित,वर्णित
8938,greg,ग्रेग,ग्रेग,ग्रेग
8939,royals,रॉयल्स,रॉयाल्स,रॉयाल्स
8940,vardhmaan,वर्द्धमान,वर्धमान,वर्धमान
8941,mhathir,महाथिर,महथिर,महथिर
8942,suhagin,सुहागिन,सुहागिन,सुहागिन
8943,jamana,ज़माना,जामाना,जामाना
8944,saptkraanti,सप्तक्रांति,सप्तक्रांति,सप्तक्रांति
8945,ubal,उबाल,उबल,उबल
8946,ralod,रालोद,रालोड,रालोड
8947,vibhram,विभ्रम,विभ्रम,विभ्रम
8948,asmanye,असमान्य,अस्मन्ये,अस्मन्ये
8949,antoni,एंटोनी,अन्टोनी,अन्टोनी
8950,masaaledaar,मसालेदार,मसालेदार,मसालेदार
8951,urff,उर्फ,उआरफ्फ,उआरफ्फ
8952,kakkad,कक्कड़,कक्कद,कक्कद
8953,tanish,टैनिस,तानिश,तानिश
8954,gomke,गोमके,गोम्के,गोम्के
8955,jalvaayu,जलवायु,जलवायु,जलवायु
8956,theatre,थियेटर,थेटर,थेटर
8957,brahmleen,ब्रह्मलीन,ब्रह्मलीन,ब्रह्मलीन
8958,sikud,सिकुड़,सिकुद,सिकुद
8959,cil,सीआईएल,चील,चील
8960,chanval,चांवल,चाँवल,चाँवल
8961,aagah,आग़ा,आगह,आगह
8962,barsaata,बरसाता,बर्साता,बर्साता
8963,harjeet,हारजीत,हरजीत,हरजीत
8964,racketeer,रैकेटियर,रैकेटीर,रैकेटीर
8965,mejbaan,मेज़बान,मेजबान,मेजबान
8966,sarkaren,सरकारें,सरकारेन,सरकारेन
8967,ramkot,रामकोट,रामकोट,रामकोट
8968,nrutyashaili,नृत्यशैली,नृत्यशैली,नृत्यशैली
8969,amarpal,अमरपाल,अमरपाल,अमरपाल
8970,jaddit,जड़ित,जाड़ित,जाड़ित
8971,hasino,हसीनों,हसिनो,हसिनो
8972,moolar,मूलर,मूलर,मूलर
8973,aise,ऐसे,ऐसे,ऐसे
8974,rasaayanika,रसायनिक,रासायनिका,रासायनिका
8975,raktabh,रक्ताभ,रक्तभ,रक्तभ
8976,haarjeet,हारजीत,हारजीत,हारजीत
8977,dhkal,ढकाल,धकाल,धकाल
8978,chhahon,छहों,च्छाहोन,च्छाहोन
8979,charit,चरित,चरित,चरित
8980,vidhaaein,विद्याएं,विधाएँ,विधाएँ
8981,muhavare,मुहावरे,मुहावरे,मुहावरे
8982,rishte,रिश्ते,रिश्ते,रिश्ते
8983,lahrai,लहराई,लहराई,लहराई
8984,langron,लंगरों,लैंग्रॉन,लैंग्रॉन
8985,hindon,हिंडन,हिन्दों,हिन्दों
8986,oran,ओरण,ओरान,ओरान
8987,jataati,जताती,जाताति,जाताति
8988,uniyal,उनियाल,उनियाल,उनियाल
8989,kabron,कब्रों,काब्रोन,काब्रोन
8990,augustustine,अगस्टाइन,"अज़ुस्टिन

(This is the transliteration of the word ""Augustine"" in Hindi.)",अज़ुस्टिन
8991,uthaapatak,उठापटक,उठापतक,उठापतक
8992,billa,बिल्ला,बिल्ला,बिल्ला
8993,rehaana,रेहाना,रेहाना,रेहाना
8994,tranjister,ट्रांजिस्टर,त्रांजिस्टर,त्रांजिस्टर
8995,nihalaani,निहलानी,निहालानी,निहालानी
8996,aparivartanshali,अपरिवर्तनशील,अपरिवर्तनशाली,अपरिवर्तनशाली
8997,takra,टकरा,ताक्रा,ताक्रा
8998,ilaaj,इलाज,इलाज,इलाज
8999,vanita,वनिता,वानिता,वानिता
9000,dhairyawan,धैर्यवान,धैर्यवान,धैर्यवान
9001,khaein,खाएं,खाएं,खाएं
9002,mahasingh,महासिंह,महासिंह,महासिंह
9003,shirke,शिर्के,शिरके,शिरके
9004,hathiya,हथिया,हठिया,हठिया
9005,lux,लक्स,लक्स,लक्स
9006,ail,ऐल,ऐल,ऐल
9007,dhoraaji,धोराजी,दोहराजी,दोहराजी
9008,rakhe,राखे,राखे,राखे
9009,amitav,अमिताव,अमितव,अमितव
9010,hault,हाल्ट,हॉल्ट,हॉल्ट
9011,swarthparak,स्वार्थपरक,स्वर्थपरक,स्वर्थपरक
9012,dakhil,दाखिल,दखिल,दखिल
9013,vikramjeet,विक्रमजीत,विक्रमजीत,विक्रमजीत
9014,bhishm,भीष्म,भिश्म,भिश्म
9015,duwaidhaayein,दुविधाएं,दुवैदहायीन,दुवैदहायीन
9016,tennis,टेनिस,टेनिस,टेनिस
9017,valkan,वल्कन,वाल्कन,वाल्कन
9018,paraadheen,पराधीन,परादेशीन,परादेशीन
9019,baapaa,बापा,बापा,बापा
9020,hostess,होस्टेस,हॉस्टेस्स,हॉस्टेस्स
9021,fulae,फुलाए,ऍफूलाए,ऍफूलाए
9022,asvabhavik,अस्वभाविक,अस्वभाविक,अस्वभाविक
9023,atthaas,अट्टहास,अठास,अठास
9024,talbagaar,तलबगार,तालबागार,तालबागार
9025,faaf,फाफ,फाओफ़,फाओफ़
9026,shaasaka,शासक,शासका,शासका
9027,tribunal,ट्रिब्युनल,त्राइबुनाल,त्राइबुनाल
9028,manmarji,मनमर्जी,मानमर्जी,मानमर्जी
9029,vastvik,वास्तविक,वस्तुविक्ति,वस्तुविक्ति
9030,pehnakar,पहनाकर,पेहनकार,पेहनकार
9031,bichhua,बिछुआ,बिच्छूआ,बिच्छूआ
9032,vaanon,वाणों,वानोन,वानोन
9033,antaha,अंतः,अन्तः,अन्तः
9034,robinson,रॉबिंसन,रोबिन्सन,रोबिन्सन
9035,adain,एडेन,अदैन,अदैन
9036,bahamaas,बहामास,बहामास,बहामास
9037,phoda,फोड़ा,फोडा,फोडा
9038,nauner,नौनेर,नौनेर,नौनेर
9039,paramparikata,पारंपरिकता,परम्परिकता,परम्परिकता
9040,loge,लोगे,लोगे,लोगे
9041,robin,रोबिन,रोबिन,रोबिन
9042,heeraganj,हीरागंज,हीरागञ्ज,हीरागञ्ज
