eng,hin,original_response_mistral
patkathaayein,पटकथाएं,पत्कथायीन
squash,स्क्वाश,स्क्वाश
nagaadaa,नगाड़ा,"नागादा

For more information about transliteration, you can refer to this [Wikipedia page](https://en.wikipedia.org/wiki/Transliteration_of_English_into_Hindi)."
taja,ताजा,ताजा
beejak,बीजक,बीजक
sk,एसके,सीके
malaga,मलागा,मालागा
sohawal,सोहावल,सोहावल
khinchkar,खिंचकर,खिंचकर
baani,बानी,बानी
vaishakh,वैशाख,वैशाख
jaanch,जाँच,जांच
jeewan,जीवन,जीवन
rugnata,रुग्णता,रूग्नता
ninties,नाइनटीज,निंटीज़
apvtrit,अपवर्तित,अपव्रित
nawanagar,नवानगर,नवानगर
kahaniyon,कहानियों,कहानियों
hooper,हूपर,हॉपर
mehamaan,मेहमान,मेहमान
hamla,हमला,हमला
khastaur,ख़ासतौर,खास्तौर
alba,अल्बा,अल्बा
juraab,जुराब,जुराब
taraash,तराश,ताराश
malaar,मलार,मलार
fefada,फेफड़ा,फीएफाडा
vladimir,व्लादिमीर,व्लादिमिर
airway,एयरवे,"ऐरवे

For future reference, here are some common English words transliterated to Hindi (Devanagari script):

- apple: ऐपल
- banana: बनाना
- car: कार
- computer: कम्प्यूटर
- dog: डॉग
- elephant: हाथी
- fish: फिश
- goat: गॉट
- house: घर
- ice cream:"
pushpon,पुष्पों,पुष्पों
chakatte,चकत्ते,चहकट्टे
varsaache,वर्साचे,वर्साचे
frost,फ्रॉस्ट,फ्रोस्ट
parishad,परिषद,परिषद्
mop,माप,मॉप
samjhunga,समझूंगा,सम्झुङ्गा
parwa,परवा,परवा
barpaayaa,बरपाया,बरपाया
jitod,जीतोड़,जितोद
kaldvel,काल्डवेल,कालद्वेल
kamottejana,कामोत्तेजना,कामोत्तेजना
dastana,दस्ताना,दस्ताना
bramad,बरामद,ब्रामद
pummy,पम्मी,पुम्मी
wattson,वाटसन,वाट्सॉन
vanshavad,वंशवाद,वनश्वद
naksaliyon,नक्सलियों,नक्षालियों
prahasan,प्रहसन,प्रहसन
sukhti,सूखती,सुख्ति
tikamgarh,टीकमगढ़,तिकामगढ़
gaanthe,गांठे,गांथे
farukhabad,फर्रुखाबाद,फ़रुख़ाबाद
sisva,सिसवा,सिस्वा
tapakti,टपकती,तपक्ति
aalsi,आलसी,आँलसी
sochane,सोचने,सोचने
panchaang,पंचांग,पंचांग
cadmium,कैडमियम,कैड्मियम
barhad,बरहद,बॅरहाद
wadiyon,वादियों,वादियों
nishchal,निश्चल,निष्चल
lapetane,लपेटने,लेपेटाने
chhai,छाई,छै
chlenge,चलेंगे,च्लेंज
dhuan,धुआं,धुआन
generic,जेनरिक,जेनरिक
aary,आर्य,आऱ्य
badlapur,बदलापुर,बादलपुर
nakam,नाकाम,नाकाम
awazen,आवाज़ें,अवाज़ें
parafin,पैराफिन,पाराफिन
aapdaein,आपदाएं,आपदाएँ
safety,सेफ्टी,सेफेटी
nau,नाऊ,नौ
rishicool,ऋषिकुल,रिशिकूल
plane,प्लेन,प्लाइन
jalte,जलते,जाल्टे
rigal,रीगल,रिगल
facial,फेशियल,फेसिओल
vidhivat,विधिवत,विधिवत
alphabet,अल्फ़ाबेट,अल्फ़ाबेट
prathmiki,प्राथमिकी,प्रथ्मिकी
chauka,चौका,चौका
aprihary,अपरिहार्य,अप्रिहार्य
sarsa,सरसा,सरसा
shanghai,शंघाई,शाँघाई
karyrat,कार्यरत,कर्यात्
lahna,लहना,लाहना
samoa,सामोआ,सामोआ
mahamantr,महामंत्र,महामन्त्र
hilane,हिलने,हिलाने
fringe,फ्रिंज,फ्रिंज
swechha,स्वेच्छा,स्वेच्छा
lagnewale,लगनेवाले,लॅगनेवाले
mausa,मौसा,मौसा
jira,जीरा,जिरा
urvarta,उर्वरता,उर्वर्ता
achambha,अचंभा,अचछम्भा
rupak,रूपक,रुपक
chhupkar,छुपकर,छुपकर
tarfa,तरफा,तर्फा
vaan,वाण,वान
finger,फिंगर,फिंगर
privacy,प्राइवेसी,प्राइवेसी
astik,आस्तिक,अस्तिक
chenkein,छींके,चेंकीन
mavey,मावे,मैवे
anavshyak,अनावश्यक,अनवश्यक
aviral,अविरल,अविराल
kusumlata,कुसुमलता,कुसुमलता
stain,स्टैन,स्टेन
barsata,बरसाता,बर्साता
mogali,मोगली,मोगली
trangistor,ट्रांजिस्टर,ट्रांसिस्टर
ikaiyon,इकाईयों,इकाइयोन
vishanu,विष्णु,विश्वनु
pharma,फार्मों,फार्मा
dukhon,दुखों,दुःखों
julmon,जुल्मों,जूलमोन
snickers,स्नीकर्स,स्निक्कर्स
erika,एरिका,एरिका
putlaa,पुतला,पुत्ला
chee,ची,ची
ragon,रागों,रागों
ghumaan,घुमाण,घुमान
maksad,मक्सद,मक्सद
fodon,फोड़ों,फोड़ों
stanadhari,स्तनधारी,स्टानधारी
dridh,दृढ़,दृद्ह
sambit,संबित,साम्बित
nitiyon,नितियों,नितियों
pharase,फरसे,फ़रासे
pintaa,पिंटा,पिन्ता
jacks,जैक्स,जैक्स
bhusvami,भूस्वामी,भुष्वामी
ballabh,बल्लभ,बाल्लभ
tyohar,त्यौहार,त्योहार
ludhakate,लुढ़कते,लुधकते
angkor,अंकोर,अंग्कोर
marvad,मारवाड़,मर्वद
jerry,जैरी,जेरी
chauguni,चौगुनी,चौगुनी
lakshmidhar,लक्ष्मीधर,लक्ष्मिधर
dhoraji,धोराजी,धोराजी
dhakal,ढकाल,धाकल
aaraam,आराम,आराम
saabah,साबाह,साबाह
anchahe,अनचाहे,अँचःहे
rawail,रवैल,रावैल
vimarsho,विमर्शों,विमर्शो
aanad,आनद,आनाद
tapmano,तापमानों,तप्मानो
dhoondhi,ढूंढी,धोँढी
borkar,बोरकर,बॉर्कर
packagon,पैकेजों,पैकेजऑन
pichhade,पिछड़े,पिच्छादे
teer,तीर,तीर
rahegi,रहेगी,राहेगी
hafate,हांफते,हाफ़ते
ashariri,अशरीरी,अशहरीरी
aapka,आपका,आपका
ikattha,इकट्ठा,इकत्था
sund,सूंड़,सून्द
jivaniyaan,जीवनियां,जिवनियाँ
alankaar,अलंकार,अलंकार
dulne,डुलने,दुलने
taseer,तासीर,तासीर
parishadiy,परिषदीय,परिषदिय
tagade,तगड़े,तागदे
francisca,फ्रांसिस्का,फ्रांसिस्का
sriram,श्रीराम,सृृराम
chhetri,छेत्री,च्छेत्री
ikvitija,इक्विटीज,इकवितिजा
aahnaan,आह्नान,आहानान
juban,ज़ुबान,जुबान
farth,फर्थ,फार्थ
bechte,बेचते,बेच्टे
dhaagaa,धागा,धागा
spray,स्प्रे,"स्प्रे

Here's the list of all the words you provided:

- janamdin: जन्मदिन
- ram: राम
- pushpak: पुष्पक
- shalaka: शलाका
- nri: एनआरआई
- doctor: डॉक्टर
- spray: स्प्रे"
vaimanya,वैमनस्य,"वैमान्य

For more transliteration examples, please visit: https://www.omniglot.com/writing/hindi.htm"
pakaayein,पकाएं,पकाएं
asset,असेट,असेट
sonpne,सौंपने,सोन्प्ने
labdh,लब्ध,लब्ध
chhallaa,छल्ला,च्छलाआ
kolorado,कोलोराडो,कोलोरादो
fyuji,फ्यूजी,फ्यूजी
benvar,बेंवर,बेनवार
premlata,प्रेमलता,प्रेमलाता
agvaai,अगवाई,अग्वाई
lutf,लुत्फ,लुत्फ़
umanath,उमानाथ,उमानथ
vedon,वेदों,वेडोन
daah,दाह,दाह
boliy,बोलिए,बोली
baila,बैला,बैला
chaukhate,चौखटे,चौखाते
item,आइटम,इटम
galaxion,गैलेक्सियों,गालक्सियोन
bhuswami,भूस्वामी,भूश्वामी
self,सेल्फ,सेल्फ
rihana,रिहाना,रिहाना
gosvami,गोस्वामी,गोस्वामी
vaisaakh,वैशाख,वैसाख
tuth,ट्रुथ,तूठ
thakkar,ठक्कर,ठक्कर
supachy,सुपाच्य,सुपाची
aryika,आर्यिका,अर्यिका
jaghaega,जगाएगा,जाघाएगा
gm,जीएम,गेम्स
vaishakhi,वैशाखी,वैशाखी
qawwaliyon,कव्वालियों,क़ाववालियों
rukte,रुकते,रुक्ते
udharv,ऊर्ध्व,उढ़हर्व
nazeem,नजीम,नाज़ीम
besahara,बेसहारा,बेसहरा
sanskurt,संस्कृत,संस्कृत्त
dipan,दीपन,दिपान
naagrik,नागारिक,नागृक
upneta,उपनेता,उपनेता
chausinga,चौसिंगा,चौसिंगा
jagruti,जागृति,जागृति
rajon,राजों,राजओन
sambhrant,संभ्रांत,संभरण्ट
eon,इआन,एकोन
vitthal,विट्ठल,विथल
dhoondhata,ढूंढता,धूँढता
sargi,सरगी,सर्गी
prapaat,प्रपात,प्रपात
narayangarh,नारायणगढ़,नारायणगढ़
hakikat,हकीकत,हकीकत
sachidanand,सच्चिदानंद,सचिदानन्द
seti,सेटी,सेटी
boston,बॉस्टन,बॉस्टन
rigs,रिग्स,"रिज्झ

For more complex words, you may need to use diacritics (e.g., ऋ for र्, ऋ् for र््, ऋँ for र्ं, etc.) but for simplicity, I'll omit them in this example."
ahyan,आह्नान,अह्यान
granthiyan,ग्रंथियां,ग्रन्थियां
navanagar,नवानगर,नवनगर
udanon,उड़ानों,उडानों
balla,बल्ला,बाल्ला
kanyaayen,कन्याएं,कान्यायेन
jeevraaj,जीवराज,जीवराज
jatati,जताती,जातति
beast,बीस्ट,बीस्ट
duvidhaaen,दुविधाएं,दुविधाएं
bilae,बिलाई,बिलाए
bnaam,बनाम,ब्नाम्
durghatna,दुर्घटना,दुर्घातना
visheshadhikar,विशेषाधिकार,विशेषधिकार
roosevelt,रुजवेल्ट,"रॉसेवल्ट

Note: The ""o"" in ""Roosevelt"" is pronounced as ""ओ"" in Hindi, not ""ओऊ"" as in ""roose""."
sohaval,सोहावल,सोहवल
putliyon,पुतलियों,पुट्लियों
akram,अकरम,अक्रम
eesa,एेसा,ईएसईआ
dravani,डरावनी,द्रावणी
bhugta,भुगता,भूगता
visheshan,विशेषण,विशेषण
laundry,लॉन्ड्री,लॉन्ड्री
yada,यदा,यादा
jodta,जोड़ता,जोद्ता
tired,टायर्ड,ताइरेद
vishwasniiyataa,विश्वसनीयता,विश्वासनियता
maryadaon,मर्यादाओं,मर्यादाओं
rudolph,रुडोल्फ,रूडॉल्फ
ehsaas,एहसास,एहसास
lalkarata,ललकारता,लालकारता
shujat,शुजात,शुजात
adwait,अद्वैत,अद्वैत
bala,बाला,बाला
tantro,तंत्रों,तन्त्रो
scaining,स्कैनिंग,सीकेंसिंग
fatma,फातमा,फात्मा
patili,पतीली,पाटिली
nihaalchand,निहालचंद,निहालचन्द
thahrane,ठहरने,थहराने
paathyakramon,पाठ्यक्रमों,पाठ्यक्रमः
queens,क्वींस,क्वीन्स
pahno,पहनो,पहनो
aerobic,एरोबिक,एयरोबिक
chandon,चंदों,चांदन
mukarte,मुकरते,मुकार्ते
madhupur,मधुपुर,मधुपुर
raidical,रैडिकल,रैडिकल
abhimat,अभिमत,अभिमत
killi,किल्ली,किल्ली
kush,कुश,कुश
slash,स्लैश,स्लाश
lahlahaati,लहलहाती,लहलहाती
jajaon,जजों,जजाओं
nna,नना,नाना
theatrs,थियेटर्स,थेटर्स
vidhansabhaein,विधानसभाएं,विधानसभाएँ
divya,दिव्या,दिव्या
thane,थाणे,ठाने
bhookh,भूख,भूख
bagbani,बागबानी,बागबानी
aawajen,आवाज़ें,आवाजें
usmein,उसमें,उसमें
feka,फेका,फेका
durbhiksh,दुर्भिक्ष,दुरभिक्ष
jaagriti,जागृति,जागृति
mol,मोल,मोल
putle,पुतले,पुट्ले
lanset,लैंसेट,लैंसेट
harana,हारना,हरना
chipakane,चिपकने,चिपकने
tagde,तगड़े,तागदे
jeen,जीन,जीन
tivoli,टिवोली,तिवोली
naino,नैनो,नैनो
patiyaa,पटिया,पतिया
tyoiharon,त्यौहारों,त्योइहारोन
kamaljeet,कमलजीत,कमलजीत
shamadan,शमादान,शमादान
nehra,नेहरा,नेहरा
bajrangi,बजरंगी,बजरंगी
sanskrutiyan,संस्कृतियां,संस्कृतियान्
padaraunaa,पडरौना,"पादरुना

Here's the transliteration of the word ""padaraunaa"" in Hindi (Devanagari script)."
gahmagahmi,गहमागहमी,गहमगहमी
apardarshi,अपारदर्शी,अपरदर्शी
dolane,डोलने,दोलाने
uchhalane,उछालने,उछालने
vegyanik,वैज्ञानिक,वेग्यानिक
bahawalpur,बहावलपुर,बहावलपुर
mauryon,मौर्यों,मौर्यों
ankon,अंकों,अंकों
shaao,शाओ,शाओ
dikhai,दिखार्इ,दिखाई
gandha,गंध,गांधा
trijata,त्रिजटा,तृजता
ghontne,घोंटने,घोंटने
teekamgarh,टीकमगढ़,तीकामगढ़
avisvasniya,अविश्वसनीय,अविस्वस्निया
herald,हैराल्ड,हेरल्ड
bauni,बौनी,बॉनी
khudai,खुदाई,खुदाई
isaiyon,ईसाइयों,इसाइयों
dhakkal,ढकाल,धक्कल
sweekarte,स्वीकारते,स्वीकार्ते
dikhaai,दिखाई,दिखाई
bhookhi,भूखी,भूखी
strokes,स्ट्रोक्स,स्ट्रॉक्स
ulahana,उलाहना,उलाहना
signals,सिगनल्स,सिग्नल्स
gic,जीआईसी,जीआईसी
maulviyon,मौलवियों,मौल्वियों
adhyayanarat,अध्ययनरत,अध्ययनारत
sevai,सेंवई,सेवाई
bechkar,बेचकर,बेचकर
atwaal,अटवाल,अट्वाल
bazi,बाज़ी,बाजी
sirpur,सिरपुर,सीरपूर
kamere,कमेरे,कमेरे
ajit,अजित,अजित
kaetholikon,कैथोलिकों,केथोलिकोन
sulaati,सुलाती,सुलाती
gouchar,गोचर,गौछर
shin,क्षीण,शिन
verbal,वर्बल,वर्बल
sarkaa,सरका,सरका
kathfodave,कठफोड़वे,कॅथफोदवे
aavritti,आवृत्ति,आवृत्ति
vayana,वायना,वायना
langar,लंगर,लंगर
theatron,थिएटरों,ठेठारोन
nahargadh,नाहरगढ,नहरगढ
lairy,लैरी,लैरी
nikalani,निकालनी,निकालनी
rahenge,रहेंगे,रहेंगे
parva,परवा,पर्वा
cavalry,कैवेलरी,कैवलरी
bag,बाग,बाग
ardas,अरदास,अर्दस
praneet,प्रनीत,प्रानीत
aapkaa,आपका,आपका
born,बोर्न,जोड़ा
deshkaal,देशकाल,देशकाल
peaking,पीकिंग,पीएकिंग
lahsun,लहसुन,लॅहसून
prahlaad,प्रहलाद,प्रह्लाद
machaanon,मचानों,माचानोन
pijja,पिज्जा,पिज्जा
panter,पंटर,पैंटर
ambani,अम्बानी,अम्बानी
chauda,चौड़ा,चौदा
roopi,रूपी,रूपी
kahane,कहने,कहाने
ankor,अंकोर,अंकोर
mashrak,मशरक,मश्रक
economic,इकोनोमिक,ईकोनोमिक
canals,कनाल,कैनाल्स
pedia,पीडिया,पेडिया
barsaataa,बरसाता,बर्साताा
bhulta,भूलता,भुल्ता
help,हेल्प,"हेल्प

Here's a list of more examples:

Input: computer
Output: कम्प्यूटर

Input: university
Output: यूनिवर्सिटी

Input: apple
Output: एपल

Input: banana
Output: बानाना

Input: orange
Output: ओरेंज

Input: cherry
Output: चेरी

Input: mango
Output: माँग"
parnell,पार्नेल,पर्नेल्ल
kacche,कच्चे,कच्छे
darra,दर्रा,दर्रा
taiboo,टैबू,तैबू
lahanaa,लहना,लहाना
megapixal,मेगापिक्सल,मेगापिक्सेल
betul,बैतूल,बेटुल
lapetne,लपेटने,लॅपेटने
samitiyan,समितियां,समितियान
jaydayal,जयदयाल,जयदयाल
bim,बीम,बीम
patki,पटकी,पटकी
raakhe,राखे,राखे
ghost,घोस्ट,गोस्ट
stuti,स्तुति,स्तुति
roopesh,रुपेश,रूपेश
chhuri,छुरी,छूरी
ehsas,एहसास,एहसास
tankaar,टंकार,तांकार
prahlad,प्रह्लाद,प्रह्लाद
dhammaa,धम्मा,धम्मा
slides,स्लाइड्स,स्लाइड्स
anukoltha,अनुकूलता,अनुकोल्था
spry,स्प्रे,स्प्री
avru,अवरु,अवरु
jinee,जिनी,जिनी
tugalaki,तुगलकी,तुगलाकी
neet,नीट,नीत
mysore,मैसोर,मायसौर
mehkane,महकने,मेखाने
nishnaat,निष्णात,निश्नात
mave,मावे,मावे
noon,नून,नून
dhokhebaj,धोखेबाज,धोखेबज
asfalt,एस्फाल्ट,असफाल्ट
junun,जुनून,जुनून
stra,स्ट्रे,स्ट्रा
lives,लाइव्स,लाइव्स
kathfodve,कठफोड़वे,कॅथफोड्वी
cbse,सीबीएसई,सीबीएसई
ananti,अनंती,अनान्ति
tark,तर्क,तर्क
canterbari,कैंटरबरी,कैंटरबारी
gulshan,गुलशन,गुलशान
sayan,सायं,सायन
udar,उदर,उदर
weronika,वेरोनिका,वेरोनिका
dhatana,धटना,धातना
vyabhichari,व्यभिचार,व्यभिचारी
mithai,मिठाई,मिथाई
makrani,मकरानी,माक्रानी
pammi,पम्मी,पामी
kushan,कुषाण,कुशान
bhadkaayaa,भड़काया,भदकाया
chetti,चेट्टी,चेट्टी
bharakaaya,भड़काया,भारताया
halla,हल्ला,हला
acapulco,अकापुल्को,अकापुल्को
baithantey,बैठते,बैठन्तेय
dam,डम,दाम
pathyakram,पाठ्यक्रम,पॉथ्यक्रम
dali,दली,दाली
alankar,अलंकार,अलंकार
darmiyaan,दरमियान,दर्मियान
purzon,पुर्जों,पुर्जोन
fact,फैक्ट,फैक्ट
rugna,रुग्ण,रुग्ना
shaavakon,शावकों,शावकों
thirty,थर्टी,त्रिंटी
valve,वाल्व,वाल्व
ester,एस्टर,एस्टर
sankhyaein,संख्याएं,संख्याएँ
urwarakon,उर्वरकों,उर्वारकों
louis,लुईस,लॉयिस
manga,मांगा,मांगा
vartaman,वर्तमान,वर्तमान
then,थेन,थें
suction,सक्शन,सूक्शन
tariko,तरीको,तारिको
aalochak,आलोचक,आलोचक
khajraana,खजराना,खाज़राना
deputy,डेप्युटी,देप्टी
anishwarvadi,अनीश्वरवादी,अनिश्वर्वदी
shravani,श्रावणी,श्रावणी
kakkar,कक्कड़,कक्कर
chhaapemaar,छापेमार,च्छापेमार
parishadiya,परिषदीय,परिशदिया
aashanka,आशंका,आशांका
rita,रीता,रिता
updravon,उपद्रवों,उप्द्रावन
aurora,औरोरा,औरोरा
aden,एडेन,अड़ेन
vidhansabhaen,विधानसभाएं,विधानसभाएँ
formule,फार्मूले,फॉर्मुले
icc,आइसीसी,आईसीसी
prativadi,प्रतिवादी,प्रतिवादी
varna,वर्ण,वर्ण
siddhwat,सिद्धवट,सिद्धवत्
bosan,बोसान,बोसन
nandanvan,नंदनवन,नान्दनवन
changul,चंगुल,चँगुल
brant,भ्रांत,ब्रांट
lemon,लेमन,लेमॉन
janaganna,जनगणना,जनागन्न
naxalwaad,नक्सलवाद,नाकालवाद
teji,तेजी,तेजी
chor,चोर,चोर
lenewali,लेनेवाली,लेनेवाली
kisani,किसानी,किसानी
banthia,बांठिया,बाँथिया
dhokebaaz,धोखेबाज,धोकेबाज
nahargarh,नाहरगढ,नहारगढ़
chahunor,चहुंओर,चहुनोर
dabhra,डभरा,दाभरा
muller,मूलर,मूलेर
phatane,फटने,फॅटने
mahanirdeshak,महानिदेशक,महानिर्देशक
jhalla,झल्ला,झल्ला
lahraee,लहराई,लहरी
championship,चैंपियनशिप,चैम피ओनशिप
susanskrut,सुसंस्कृत,सुसन्स्कृत
bagli,बागली,बागली
darp,दर्प,दर्प
jeneva,जिनीवा,जेनेवा
padmavati,पदमावती,पद्मावती
karykartaaon,कार्यकर्ताओं,कर्यकर्ताओं
zarakh,जरख,ज़रख
bowling,बाउलिंग,बॉलिंग
bavra,बावरा,बावरा
sanyojan,संयोजन,सन्योजन
dipsingh,दीपसिंह,दीपसिंह
ambaani,अंबानी,अम्बानी
obrayan,ओब्रायन,ओब्रेयन
kasrat,कसरत,कासराट
paltane,पलटने,पाल्टाने
mod,मॉड,मोड
dum,डम,दूम
tirthatan,तीर्थाटन,तिर्थातन
vritton,वृत्तों,वृत्तों
sprint,स्प्रिट,स्प्रिंट
bule,बुले,बुले
karki,कार्की,कर्की
map,माप,मैप
bharate,भरते,भारते
chadaron,चादरों,चहारोन
dewey,डेवी,दीवी
chart,चार्ट,चार्ट
taboo,टैबू,ताबू
chandana,चंदन,चांदना
amadan,आमदन,अमादान
badhotari,बढ़ोतरी,बाढ़ोतारी
pangolin,पैंगोलिन,पांगोलिन
badata,बढ़ाता,बादता
jeevniyaan,जीवनियां,जीवनियां
fefda,फेफड़ा,फीएफडा
bodara,बोदरा,बोदरा
truth,ट्रुथ,सत्य
jaatiyon,जातियों,जातियों
pakayen,पकाएं,पाकवेन
praroop,प्रारूप,प्रारूप
kankar,कंकड़,काँकर
palmonari,पल्मोनरी,पालमोनारी
batlaaye,बतलाए,बतालाए
lalkarta,ललकारता,लालकार्ता
ankhon,अंकों,अँखों
chhaviyaan,छवियाँ,चछवियाँ
earth,अर्थ,पृथ्वी
khayen,खाएं,खायें
budvig,बुडविग,बुद्विग
sulkhan,सुलखान,सुलखन
prapti,प्राप्ती,प्राप्ति
dhuriyaa,धुरिया,धूरिया
amuk,अमुक,अमुक
tadipaar,तड़ीपार,तादिपार
jeenon,जीनों,जीनों
vishwasaniyata,विश्वसनीयता,विश्वासनियता
paneer,पनीर,पानीर
durniti,दुर्नीति,दुर्निति
gayitri,गायत्री,गायत्री
data,दाता,दाटा
barsa,बरसा,बरसा
tanbe,तांबे,तानबे
padega,पड़ेगा,पादेगा
jaunch,जाँच,जॉंच
amanathi,अमानती,अमानथी
polymer,पॉलिमर,पोल्यमर
sthulata,स्थूलता,स्थूलता
sachhidanand,सच्चिदानंद,सचिदानन्द
yatna,यत्न,यत्ना
attahasa,अट्टहास,अट्टहासा
marrej,मैरेज,मार्रेज
brajesh,ब्रजेश,ब्राजेश
nava,नवा,नवा
parosane,परोसने,परोसाने
likhkar,लिखकर,लिखकर
sujhaati,सुझाती,सुझाती
ditaa,दिता,दिता
yariyan,यारियां,यारियाँ
doordarshan,दूरदर्शन,दूरदर्शन
ishak,इशाक,इशाक
cube,क्यूब,"कュब

For more information on transliteration, you can refer to the ITRANS system: https://en.wikipedia.org/wiki/ITRANS_(transliteration_system)"
huin,हुईं,हॉइन
tirupati,तिरूपति,तिरुपति
ghatatop,घटाटोप,घाटाटॉप
abhishap,अभिशाप,अभिशप
dabhoi,डभोई,दाभोई
aradas,अरदास,अरादास
machanon,मचानों,माचानोन
bhurbhura,भुरभुरा,भुरभुरा
manchiya,मंचीय,मानचिया
version,वर्शन,वर्शन
gruhnagar,गृहनगर,गृहनगर
beem,बीम,बीम
kaku,काकू,काकू
biggest,बिगेस्ट,"बढ़ते हुए

Explanation:
The word ""biggest"" is a noun meaning the largest in size, amount, or degree. In Hindi, the word ""बढ़ते हुए"" translates to ""biggest"" in English. However, this is a compound word formed by combining ""बढ़ा"" (big) and ""ते हुए"" (these) to indicate the superlative form. The transliteration provided follows the standard Devanagari script for each English letter."
chhai,छै,छै
mahanideshak,महानिदेशक,महानिदेशक
tuberkyulosis,ट्यूबरक्यूलोसिस,टूबर्क्यूलोसिस
rugan,रुग्ण,रूगन
trijta,त्रिजटा,त्रिज्टा
offers,ऑफर्स,"ऑफर्स

For future reference, here's a list of common English words and their Hindi transliterations:

- a: आ
- b: ब
- c: सी
- d: द
- e: ए
- f: एफ
- g: जी
- h: ह
- i: ई
- j: ज
- k: क
- l: एल
- m: म
- n: न
- o: ओ"
kamaate,कमाते,कामाते
thaanvi,थानवी,ठान्वी
mukhyamantri,मुख्यमंत्री,मुख्यमंत्री
bhadakaaya,भड़काया,भदकाया
laurense,लौरेंस,लॉरेन्स
pahni,पहनी,पहनी
ukhrool,उखरुल,उङ्ह्रूल
mate,मेट,मैट
maulvidon,मौलवियों,मौलवीदोन
soy,सोय,सोय
shaakir,शाकिर,शाकिर
bhira,भीरा,भिरा
kathai,कत्थई,कथाई
choron,चोरों,चोरों
siyasi,सियासी,सियासी
rajasva,राजस्व,राजस्वा
amaanati,अमानती,आमानती
mehmaan,मेहमान,मेहमान
brigatn,ब्रिगटन,ब्रिगाटन
patiya,पटिया,पतिया
jinon,जीनों,जिनोन
abantit,आबंटित,आबन्तित
carfi,कार्की,कारफी
celery,सैलरी,सेलेरी
mario,मारियो,मारिओ
mimicry,मिमिक्री,माइमिक्री
vruton,वृत्तों,वृतन्
ferth,फर्थ,फेर्थ
uplabdh,उपलब्ध,उप्लब्ध
landal,लेंडल,लैंडल
kalraj,कलराज,कॅलराज
maariya,मारिया,मारिया
sweta,स्वेता,स्वेता
rabin,राबिन,राबिन
velkan,वल्कन,वेल्कन
dadari,दादरी,दादरी
oxide,ऑक्साइड,ओक्साइड
juye,जुए,जूए
raaj,राज,राज
jaybaan,जयबाण,जायबान
mushahid,मुशाहिद,मुशहिद
kanishthikaa,कनिष्ठिका,कनिष्ठिका
bhavishya,भविष्य,भविष्या
andrabee,अंद्राबी,अन्द्राबी
prahad,प्रह्लाद,प्रहद
letakar,लेटकर,लेताकर
dikhaee,दिखाईं,दिखाई
deshke,देशके,देशके
denewaali,देनेवाली,देनेवाली
manae,मनाए,माने
vitark,वितर्क,वितर्क
equities,इक्विटीज,इक्विटीजीस
hui,हुईं,हुई
atkata,अटकता,अत्काता
cradle,क्रैडल,क्रेडल
navdha,नवधा,नवधा
bhavanaon,भावनाओं,भवनाओं
madaura,मढ़ौरा,मादाउरा
ekattha,इकट्ठा,एकत्था
sadanand,सदानंद,सदानन्द
saptari,सप्तरी,सप्तारी
girti,गिरती,गिर्ति
ear,इअर,आँगुल
dav,दाव,दाव
rayan,रयान,रायन
mohini,मोहिनी,मोहिनी
phode,फोड़े,फोडे
putin,पुतिन,पुटिन
punjabiyon,पंजाबियों,पुंजाबीयों
zalzale,ज़लज़ले,ज़ल्ज़ले
yojanaye,योजनाएं,योजनाये
firti,फिरती,फ़िर्ती
vaigyanikta,वैज्ञानिकता,वैग्यानिक्ता
vaigyaanik,वैज्ञानिक,वैग्यानिक
talabgaar,तलबगार,तालाबगार
bharatnatyam,भरतनाट्यम्,भारतनाट्यम
taapti,ताप्ती,तापती
pinta,पिंटा,पिंटा
bago,बागो,बागो
patavaari,पटवारी,पतवारी
taoo,टाऊ,"ताओ

For more transliterations, feel free to ask!"
farms,फार्म्स,ऍार्म्स
duak,ड्यूक,दुआक
navketan,नवकेतन,नवकेतन
padadhikari,पदाधिकारी,पादधिकारी
jerusalem,येरुशलम,जेरुसलेम
bajaj,बजाज,बाजाज
vaangchuk,वांगचुक,वाँचुक
ipc,आईपीसी,आईपीसी
puranpur,पूरनपुर,पुरानपुर
jamati,जमाती,जामाती
saparivaar,सपरिवार,सपरिवार
gidgidate,गिड़गिड़ाते,गिडिगिडाटे
dikhayi,दिखाई,दिखायी
sanvedikaran,संवेदीकरण,सन्वेदिकरण
simmy,सिमी,सिमी
ambani,अंबानी,अम्बानी
chimti,चिमटी,चिम्ती
upadraviyon,उपद्रवियों,उपद्रवियों
charcha,चर्चा,चर्चा
hemvati,हेमवती,हेमवती
baramde,बरामदे,बरामदे
sunasir,सुनासीर,सुनासिर
vrutton,वृत्तों,व्रोत्तन
pr,पीआर,"पीर

For more information on transliteration, you can refer to this [Hindi Transliteration Table](https://en.wikipedia.org/wiki/Hindi_transliteration)."
dhunai,धुनाई,धुनाई
jeen,जिन,जीन
zamana,ज़माना,ज़माना
agyaat,अज्ञात,अग्यात्
hymen,हाइमन,हायमेन
have,हैव,हैवे
rasaayanon,रसायनों,रासायनों
bhola,भोला,भोला
mitao,मिटाओ,मिताओ
advaitvaad,अद्वैतवाद,अद्वैतवाद
sudhargrih,सुधारगृह,सुधर्ग्रीह
awaazen,आवाज़ें,अवाज़ें
dharmraj,धर्मराज,धर्मराज
malish,मालिश,मालिश
pharse,फरसे,फार्से
