picot,पिकॉट
abhichitran,अभिचित्रण
bodhyan,बोधयान
shivalakshmi,शिवालक्ष्मी
magadhadesh,मगधदेश
balubhai,बालूभाई
siddhawastha,सिद्धावस्था
khushfahmi,खुशफहमी
inspection,इन्सपेक्शन
dilshod,दिलशोद
vaatanukulit,वातनुकूलित
ziaoshun,ज़ियाओशुन
abitkar,अबिटकर
dhvanyaalok,ध्वन्यालोक
kulasachivanchi,कुलसचिवांची
batwani,बटवानी
disappointment,डिसअपॉइंटमेंट
tribunals,ट्रिब्यूनल्स
sugnadevi,सुगनादेवी
devhuti,देवहुति
veenaaein,वीणाएं
bhajibhakare,भाजीभाकरे
indauria,इंदौरिया
gunadharm,गुणधर्म
orevil,ओरेविल
bijnor,बिजनौर
batistuta,बतिस्तुता
bulosa,बुलोसा
sakhibai,सखीबाई
krami,क्रमी
sahalte,सहलाते
bahiyari,बहियारी
kakshaake,कक्षाके
tanabe,तानाबे
bernardo,बरनार्डो
yogdanahi,योगदानही
khemungan,खेमुंगन
samaksha,समाक्षा
steakhouses,स्टीकहाउस
srikamyakeshwar,श्रीकाम्यकेश्वर
arajaktaki,अराजकताकी
bargul,बरगुल
kreejwali,क्रीजवाली
keeganana,कीगणना
namraj,नमराज
rajjakpur,रज्जाकपुर
aggression,अग्रेशन
garadu,गराडु
rukvaayi,रुकवायी
prabharadhin,प्रभाराधीन
temdeji,तेमडेजी
dhanatmak,धनात्मक
deshane,देशने
nagwar,नागवार
janaleva,जानलेवा
gaddavar,गद्दावर
jahreela,जहरीला
sarvatobhadra,सर्वतोभद्र
bayrut,बेरुत
samarathak,समरथक
kabjo,कब्जो
manindra,मणींद्र
pkta,पकता
biometrac,बायोमीट्रेक
varshga,वर्षगा
chhuaye,छुआए
hyuk,हाइक
tomatino,टोमाटीनो
gadyapadyamaya,गद्यपद्यमय
stenhaff,स्टेनहाफ
crocodile,क्रोक्रोडाइल
dhoodhanen,ढूढ़नें
ragadiye,रगड़िये
garjenusar,गरजेनुसार
dainikjeevan,दैनिकजीवन
arkaniketan,अर्कानिकेतन
kakraud,ककरौड़
potnis,पोतनिस
bioprethy,बायोप्रीथी
vaktavyahi,वक्तव्यही
emulsifying,इमल्सीफाइंग
goto,गोटो
kadulkar,कडुलकर
najariyen,नजरियें
raseshwari,रासेश्वरी
suryachakra,सूर्यचक्र
nivadanukanmadhil,निवडणुकांमधील
blasiyon,ब्लासियों
dutkaarte,दुतकारते
jatiyatabadi,जातीयताबादी
bojovic,बोजोविक
conspirator,कॉन्सपिरेटर
nirdeshnama,निर्देशनामा
naraina,नारायणा
bidnurkar,बिदनुरकर
jairoop,जयरूप
nimekar,निमेकर
amolatar,अमोलातार
sinchanala,सिंचनला
maidipur,मैदीपुर
boils,बॉयल्स
vyangyachitron,व्यंग्यचित्रों
matdaranchyahi,मतदारांच्याही
seemaavartin,सीमावर्तीं
vulgate,वल्गेट
neethurlends,नीदरलैंडस
jawahare,जवाहरे
kebalcha,केबलचा
abuglia,अबुगलिया
butoma,बुटोमा
exuperts,एक्सूपर्ट्स
chapas,चापस
vishwajitsinh,विश्वजीतसिंह
tyachbarobarach,त्याचबरोबरच
bhajanlalji,भजनलालजी
mudarrisi,मुदर्रिसी
zabriski,ज़बरिस्की
injected,इन्जेक्टेड
moolchandji,मूलचंदजी
esml,ईएसएमएल
kumaspur,कुमासपुर
sanctuary,सेंचुरी
karmishi,कर्मिशि
jaatah,जातह
kazakstan,कज़ाक़स्तान
galiane,गलियाने
shubhade,शुभदे
arshadpur,अरशदपुर
filed,फाइल्ड
antaragni,अंतराग्नि
hagenstone,हैगनस्टोन
chhabbad,छब्बड़
gilla,गिल्ला
inchtep,इंचटेप
muvayana,मुवायना
adimulapu,एडिमुलपु
naagavaar,नागवार
trimadhu,त्रिमधु
melipilla,मेलिपिला
golibaari,गोलीबारी
ghatkasambandhi,घटकासंबंधी
yerinals,यरिनल्स
anjib,अंजीब
shatrunaya,शत्रुनय
shantipoorna,शांतिपूर्ण
radder,रैडर
jcpo,जेसीपीओ
piparahwa,पिपरवाह
dasrang,दसरंग
frogmore,फ्रॉगमोर
parilabhon,परिलाभों
prasanskeeran,प्रसंस्कीरण
igrua,आईजीआरयूए
agrotextile,एग्रोटेक्सटाइल
lotram,लोटराम
sihaji,सीहाजी
kotlabehad,कोटलाबेहड़
walthamstow,वाल्थमस्टोव
noukriyan,नौकरियाँ
agiary,अगियारी
pawanindra,पवनींद्र
tayakwando,तायकवांडो
iktalisvin,इकतालीसवीं
muslims,मुस्लिमों
garsullah,गरसुल्ला
samudrake,समुद्रके
nanhee,नन्हीं
muhajiddin,मुहाजिद्दीन
teezaarband,तीज़ारबंद
chititsak,चितित्सक
rajasekhara,राजशेखरा
brihadishwara,वृहदेश्वर
chaitadih,चैताडीह
ruchinusar,रूचिनुसार
pixalization,पिक्सेलाइज़ेशन
starbase,स्टारबेस
maheshamunda,महेशामुंडा
prayoganusar,प्रयोगानुसार
efficient,इफीशंट
chandikesvara,चंडिकेश्वर
tummein,तुम्में
shitpeyanchi,शीतपेयांची
partapur,परतापुर
renditta,रेंडिटा
chhailo,छैलो
chhaayaankan,छायांकन
kingsway,किंगस्वे
pareto,परेटो
mahtvaakanksha,महत्वकांक्षा
samochin,समोचीन
seoljori,सियोलजोरी
fugaaon,फुगाओं
kumarchand,कुमारचंद
mahrani,महरानी
bapastima,बपस्तिमा
sandhyarupalal,संध्यारूपलाल
balreddy,बालरेड्डी
bhawanae,भावनाएँ
shivparvatiche,शिवपार्वतीचे
bandke,बंदके
catolonia,केटोलोनिया
jodhupari,जोधुपरी
novil,नोविल
baanspahaadi,बांसपहाड़ी
glucuronic,ग्लुकुरोनिक
kurbani,कुरबनी
capa,सीएपीए
ashtaprakaari,अष्टप्रकारी
salkhan,सालखान
kurodon,कुरोदों
ehma,एहमा
oversubscripsion,ओवरसब्सक्रिप्सन
vastupath,वस्तुपाठ
bhattatola,भट्टाटोला
pago,पागो
makbooliyat,मकबूलियत
apostolic,अपौस्टोलिक
viewl,व्यूल
asamvaad,असंवाद
endorphin,एंडोर्फिन
kramikaran,क्रमिकरण
sitalpati,सीतलपति
bhautin,भौतीं
tarunam,तरुणम
vetanababatchya,वेतनाबाबतच्या
delk,डेल्क
bluegrass,ब्लूग्रास
koroput,कोरोपुत
nabdweep,नबद्वीप
shengyong,शेंग्योंग
filterche,फिल्टरचे
bujwa,बुजवा
diljith,दलजीत
belyj,बेलिज
sukanti,सुकांती
devanchya,देवांच्या
kegarbh,केगर्भ
sarvastivadi,सर्वास्तिवादी
berun,बेरून
vyangakar,व्यंगकार
bnhs,बीएनएचएस
yogvibhag,योगविभाग
cprmadhyech,सीपीआरमध्येच
shingu,शिंगु
shakhsiyatah,शख्सियतः
hindaun,हिंदौन
nyayalika,न्यायालिका
ganeshotsawasathi,गणेशोत्सावासाठी
regularisation,रैगुलराइजेशन
chikku,चिक्कु
almunjid,अलमुंजिद
lenkiewicz,लेन्किविक्ज़
nadalovu,नाडलोवु
bapaviruddh,बापाविरुद्ध
alochn,आलोच्ह्न
sangola,संगोले
ghontenge,घोंटेंगे
levofloxacin,लिवोफ़्लॉक्सासिन
udayan,उदयन
assem,असेम
khuchay,खुचे
ekakadam,एककदम
encovi,एनकोवी
greenpeaces,ग्रीनपीस
shaktoch,शकतोच
elmuni,एलमुनी
yalagise,यालागिसे
jadbharatva,जड़भरत्व
aadhivaasi,आधिवासी
pankheru,पंखेरू
mashkara,मश्करा
pippermool,पिपरमूल
jogladevi,जोगलादेवी
kshetravyaapi,क्षेत्रव्यापी
surpachisi,सूरपचीसी
sadpravrittiyan,सद्प्रवृत्तियां
sammelanonchikitsa,सम्मेलनोंचिकित्सा
bhavishyphal,भविष्यफल
thunderwolt,थंडरवोल्ट
heoroot,हियोरूट
jhangu,झंगू
pandurangappa,पांडुरंगप्पा
upaniweshvadi,उपनिवेशवादी
fastbadlapur,फास्टबदलापुर
janderpur,जंदरपुर
maynosh,मयनोश
albina,अल्बीना
shikaven,शिकवें
hemas,हेमास
qaanuunan,क़ानूनन
anekarthak,अनेकार्थक
goldensheck,गोल्डनशेक
asambhaavanaaen,असम्भावनाएँ
rajamahendravarman,राजामहेंद्रवर्मन
konabarobar,कोणाबरोबर
prokhrov,प्रोखरोव
gadhde,गढ्डे
indigenous,इंडीजिनियस
sagei,सगेई
matakdar,मटकदार
tankers,टैंकरों
prachandika,प्रचंडिका
utpidankariyon,उत्पीड़नकारियों
bumuar,बुमुआर
virology,वायरलॉजी
tololing,टोलोलिंग
bashal,बशाल
samajsahayata,समाजसहायता
upavastu,उपवस्तु
hindusingh,हिंदूसिंह
vighnahar,विघ्नहर
prpc,पीआरपीसी
palkheda,पालखेड़ा
sipahasalaron,सिपहसालरों
fayyazul,फय्याजुल
livingroom,लिविंगरूम
heeroinen,हीरोइनें
aruvikkara,अरूविक्कारा
jande,जंदे
kunta,कुंती
gyananukul,ज्ञानानुकुल
ashokavanika,अशोकवनिका
siddhar,सिद्धर
postmetric,पोस्टमेट्रिक
demecrate,डेमेक्रेट
iftekhar,इफ्तिखार
sahsainik,सहसैनिक
darabariyon,दरबारियों
irmim,इरमिम
padur,पादुर
adharlekin,आधारलेकिन
khurdia,खुर्दिया
sierpinski,सेइरपिंस्की
raggi,रैग्गी
sevagat,सेवागत
apatrateprash,अपात्रतेप्रश्
lvi,एलवीआई
claudius,क्लाडियस
umaiyah,उम्मैया
citd,सीआईटीडी
northcote,नार्थकोट
muharen,मुहरें
yahakshetra,यहक्षेत्र
kilniyaan,किलनियाँ
jitendriyon,जितेन्द्रियों
ezzor,एज्जोर
bhuvneshra,भुवनेश्र
socialistic,सोशलिस्टिक
alhurra,अलहुर्रा
kerkara,केरकारा
bhadoli,भडोली
bernanke,बर्नांके
budhgere,बुधगेरे
dockett,डाकेट
steelbird,स्टीलबर्ड
ashramiyon,आश्रमियों
armstrug,आर्मस्ट्रग
irevna,ईरेवना
liebers,लिबर्स
radheyam,राधेयाम
opranet,आपरानेट
eldoret,एल्डोरेट
warfarin,वारफेरिन
kiriella,किरीला
tappu,टप्पू
pattenuma,पत्तेनुमा
himachhaadit,हिमच्छादित
nidravastha,निद्रावस्था
commands,कमान्ड्स
ayuprada,आयुप्रदा
hastakshakarta,हस्ताक्षकर्ता
bajpolpatik,बजपोलपतिक
ballapura,बल्लापुरा
burahan,बुराहन
usmanpura,उस्मानपुरा
ghatnakramanantar,घटनाक्रमानंतर
phulnagar,फूलनगर
gaayal,गायल
satyataako,सत्यताको
biysk,बियस्क
kamargazi,कमरगाज़ी
sufalaan,सुफलां
badhtebadhte,बढ़तेबढ़ते
subiha,सुबीहा
ghodopant,घोड़ोपन्त
nausheen,नौशीन
zurriyat,ज़ुर्रीयत
cheruthony,चेरूथोनी
puritan,प्यूरीटन
bapusaheb,बापूसाहेब
sukrala,सुक्राला
dakshinchi,दक्षिणची
zaraasaa,ज़रासा
sanrankshakon,संरंक्षकों
bharadwajapuram,भरद्वाजपुरम
rengel,रेंगेल
pataku,पटाकू
preyasiyan,प्रेयसियाँ
ridjahal,रिदजहल
awaviyon,अवयवियों
chloropyrophos,क्लोरोपाइरोफोस
moreng,मोरेंग
dagubatti,डग्गूबती
haanphta,हाँफता
rajakar,रचाकर
ubarkhabad,ऊबड़खाबड़
akathaniyata,अकथनीयता
madiha,मादिहा
kausis,कौसिस
dampani,दंपनी
lajaati,लजाती
madhavar,मधावर
belamkan,बेलामकन
stoney,स्टोनी
genug,गेनुग
enayetullah,इनायतुल्लाह
nagammaa,नागम्मा
extol,एक्सटॉल
abhiyaanako,अभियानको
namvarsingh,नामवरसिंह
roho,रोहो
chandile,चंदीले
broslo,ब्रोसलो
vyahaariktaa,व्यहारिकता
dtx,डीटीएक्स
sanrakshani,संरक्षणी
jgu,जेजीयू
mimc,एमआईएमसी
intercontinental,इंटरकॉनटिनेंटल
faislon,फ़ैसलों
shodhakon,शोधकों
dekhin,देखिन
rosacia,रोसासिया
accisional,एक्सीजनल
heeraalaaljee,हीरालालजी
hyovom,ह्योवोम
bahutaat,बहुतात
murr,मूर
dillibijali,दिल्लीबिजली
raghuvanshiji,रघुवंशीजी
tcls,टीसीएलएस
schneider,शेनिडर
aghara,अघारा
vijaura,विजौरा
orlaha,ओरलाहा
shyamalahils,श्यामलाहिल्स
aglehi,अगलेही
biosash,बायोसैश
cratchers,क्रैचर्स
piyushbhai,पियूषभाई
cantboard,कैंटबोर्ड
kothewal,कोठेवाल
anuttardayitva,अनुत्तरदायित्व
hareva,हरेवा
melfal,मेलफल
bijukha,बिजूखा
payonidhi,पयोनिधि
rupayekharch,रुपयेखर्च
ulvarian,उल्वेरियन
udyojkanwar,उद्योजकांवर
jansuraksha,जनसुरक्षा
koyalshankh,कोयलशंख
barcodes,बारकोड
tyachyanshi,त्याच्यांशी
pampanagar,पंपानगर
gundawar,गुंडावार
supersonic,सूपरसॉनिक
avirodhta,अविरोधता
homchurch,होमचर्च
ssd,एसएसडी
suravashe,सुरवशे
jakaab,जकाब
defibrillators,डीफाइब्रिलेटर्स
naknayak,नाकनायक
shamshabad,शमशाबाद
saizal,सैजल
dholayatra,ढोलयात्रा
sachiatrist,सैकियाट्रिस्ट
hadse,हदसे
monotrain,मोनोट्रेन
helaita,हेलाइता
aarharan,आरहरण
praptahui,प्राप्तहुई
sahukaro,साहुकारो
niwasanwar,निवासांवर
mulayam,मुलयम
aitaraajon,ऐतराजों
ramdevanand,रामदेवानंद
confusing,कन्फ़्यूज़िंग
udayanagari,उदयानगरी
pratishulk,प्रतिशुल्क
rambaran,रामबरन
jahejiang,जहेजिआंग
desher,देशेर
venkatachalaiya,वेंकटचलाइया
eklingnathji,एकलिंगनाथजी
dukatyaane,दुकट्याने
haaroge,हारोगे
mahefil,महेफिल
tudosh,तुदोष
sanghatnelahi,संघटनेलाही
mahasulmantryanchya,महसूलमंत्र्यांच्या
silicosis,सिलीकोसिस
surbe,सुर्बे
paidashi,पैदाशी
ferinosa,फेरिनोसा
jogend,जोगेंद
antarsthaapit,अंतर्स्थापित
medford,मेडफोर्ड
desso,डेसो
beros,बेरोस
rehydrates,रिहाइड्रेट
drishtanand,दृष्टानंद
allahhe,अल्लाह
humma,हुम्मा
chitrabaddh,चित्रबद्ध
piditanchya,पीडितांच्या
kudesar,कुड़ेसर
modelmadhye,मॉडेलमध्ये
hirdesai,हिरदेसाई
boojhaane,बूझाने
freiburg,फ्राइबुर्ग
ochha,ओछा
meredil,मेरेदिल
fons,फ़ॉंस
nitendrasinh,नितेन्द्रसिंह
imratpal,इमरतपाल
bhigoin,भिगोईं
devalahi,देवालाही
mathradas,मथरादास
dhanaagam,धनागम
amitoze,अमितोजी
demirbagh,डेमिरबाग
gunvattadharak,गुणवत्ताधारक
sujanpura,सुजानपुरा
greenbugh,ग्रीनबग
khamkhayali,खामखयाली
macartney,मकार्टनी
sikhera,सिखेरा
fatehapurah,फतेहपुरः
paryaayvaachiyon,पर्यायवाचियों
dutavashon,दूतावासों
shirla,शिरला
villogen,विलोजेन
asteric,एस्टेरिक
sitalnagar,शीतलनगर
dhalo,ढलो
oinam,ओइनम
cfp,सीएफपी
forresty,फॉरेस्टी
padmvati,पद्मावती
padavarun,पदावरुन
bhavishyavaani,भविष्यवाणी
mahalpura,महलपुरा
ocnerodrilidae,ओक्नेरोड्रिलिडे
uttaa,उत्ता
aakroshvash,आक्रोशवश
praacheentaa,प्राचीनता
basalag,बसालग
bogdahi,बोगदाही
monpokhari,मोनपोखरी
pidishetty,पिडीशेट्टी
oroville,ओरोविल
jaatiyan,जातियाँ
navamnga,नवरंग
twach,त्वच
hridayarvinde,हृदयारविन्दे
mahalakmi,महालक्मी
pramaapan,प्रमापन
poddar,पोद्दार
arunapandian,अरूणपांडियन
wolfhound,वोल्फहाउंड
touroom,टूरूम
gangaprem,गंगाप्रेम
muritaniya,मौरिटैनिया
akhendo,अखेंदो
marlena,मार्लेना
tryptophane,ट्रिप्टोफ़ैन
artinagar,आरतीनगर
mhatalyaane,म्हटल्याने
changrara,चंगरारा
baahaake,बाहाके
pakadaliya,पकड़लिया
chaitavan,चैतवन
pusmuffs,पस्मफ्स
prabhupura,प्रभुपुरा
gurbakhsh,गुरूबख्श
reezwan,रीजवान
karatyaat,करत्यात
dhaniben,धनीबेन
bidgosch,बिडगोस्च
addington,एडिंगटन
kokoli,कोकोली
kadaili,कड़ैली
ambua,अम्बुआ
banket,बैंकेट
harrelson,हैरेल्सन
utpadkakadun,उत्पादकाकडून
taanya,तान्य
hydroxide,हाईड्रोक्साइड
asada,एएसएडीए
exothermic,एक्सोथर्मिक
holdingdhariyon,होल्डिंगधारियों
persons,परसन्स
jiocha,जिओचा
shayangrah,शयनग्रह
km,केएम
kagadpatranusar,कागदपत्रानुसार
mansaharache,मांसाहाराचे
fehrenheit,फेरनहाइट
bogla,भोगला
chahankta,चहंकता
paaoge,पाओगे
vidhvanskartaon,विध्वंसकर्ताओं
kodarnath,कोदारनाथ
luutegii,लूटेगी
phuran,फुरन्
egana,एगाना
kuprashasakon,कुप्रशासकों
burkhadhari,बुरखाधारी
hujuron,हुजूरों
badwasi,बड़वासी
barcus,बारकस
dhanyari,धन्यारी
karupayya,करूपय्या
avibhinn,अविभिन्न
khahi,खहि
taittareya,तैत्तरेय
savaranyache,सावरण्याचे
neglal,नेगलाल
guardensamiamy,गार्डेंसमियामी
gangakher,गंगाखेर
vyavaskon,व्यवस्कों
vichardharatmak,विचारधारात्मक
takatsuki,ताकात्सुकी
puhan,पुहान
annesley,अनेस्ले
schoveller,शोवेलर
godsmack,गॉड्समैक
polymeric,पॉलीमरिक
saluram,सालूराम
khisakney,खिसकने
ishapriya,ईशाप्रिया
belize,बेलीज
mutshabe,मुतशाबे
pasteries,पेस्ट्रीज़
nmpt,एनएमपीटी
decio,डेसियो
koshgrih,कोषगृह
dariyabar,दरियाबार
bhaktiheen,भक्तिहीन
ghaba,घब
ukcs,यूकेसीएस
superbrite,सुपरब्राइट
sreyas,श्रेयस्
kaumarsarg,कौमारसर्ग
ostarine,ओस्टारिन
shakayanya,शाकायन्य
bhaikhan,भाईखान
paraplegic,पैराप्लेजिक
jemaram,जेमाराम
lubadun,लुबाडून
environmenta,एन्विरोन्मेन्ट्
kupachan,कुपाचन
moiley,मोईली
zahirul,ज़हीरुल
valtham,वाल्थम
gananetoon,गणनेतून
kimateevar,किमतीवर
mandirki,मंदिरकी
baareekiyon,बारीकियों
egical,एजिकल
foote,फूटे
dakshatechi,दक्षतेची
pyongpang,प्योंगपांग
sampratipatti,संप्रतिपत्ति
raghavanka,राधवांक
maanyataayen,मान्यतायें
rajelal,राजेलाल
paisarupi,पैसारूपी
hainsabhi,हैंसभी
acharyon,आचार्यों
mamelian,मैमेलियन
wrap,व्रेप
jhadnov,झाडनोव
bayt,बेअत
hamdiah,हमदियाह
traciability,ट्रेसिएबिलिटी
paschimkaran,पश्चिमकरण
kusav,कुसाव
ronge,रोंगे
manrino,मानरिनो
chamundayai,चामुंडायै
serotinin,सेरोटिनिन
tomoya,टोमोया
sandhyarani,संध्याराणी
nuvaidaraat,नुवैदरात
zegler,जेगलर
supali,सुपाली
piaggio,पिआजिओ
raaneelaa,रानीला
mokachya,मोकाच्या
watmarinche,वाटमारींचे
ujjawa,उज्जवा
pithora,पिथोरा
mookambikai,मुकाम्बिकाई
baloo,भालू
praaptaank,प्राप्तांक
taartamyavaachak,तारतम्यवाचक
koshishkaren,कोशिशकरें
hazmola,हाज़मोला
puigdemont,पुइगेदेमोंत
loffig,लॉफिग
ragbaddh,रागबद्ध
avicena,एवीसेना
baharare,बहरारे
pradhaanamhantree,प्रधानम़ंत्री
kickstart,किकस्टार्ट
chaps,चैप्स
upasampaadako,उपसंपादको
daantun,दाँतुन
kamititoon,कमिटीतून
centbank,सेंटबैंक
muffakam,मुफ्फकम
karagarprashasana,कारागारप्रशासन
stelco,स्टेलको
maansabhakshak,मांसभक्षक
haulter,हॉल्टर
parvatarajasuta,पर्वतराजसुता
hayman,हयमैन
liaison,लाइजन
lumba,लुंबा
slf,एसएलएफ
ksdmc,केएसडीएमसी
pavlasek,पावलासेक
yugadharm,युगधर्म
snabration,स्नेब्रेशन
partyant,पार्ट्यांत
parabainganikiran,पराबैंगनीकिरण
aoshan,ओशन
markanday,मार्कंडेय
vanbhainsa,वनभैंसा
custalia,कस्टालिया
sawarlal,सावरलाल
shodshopchar,शोदशोपचार
fukche,फुक्चे
namankat,नामांकत
zemmour,ज़मौर
lameta,लामेटा
hovideshi,होविदेशी
avaidyanath,अवैद्यानाथ
nakashahi,नकाशाही
multipole,मल्टीपोल
rainforest,रेनफ़ोरेस्ट
sudhana,सुधाना
bhumji,भूमजी
apdrd,एपीडीआरडी
gharabhovtich,घराभोवतीच
jharge,झरगे
nakyal,नकयाल
sociologist,सोसियोलोजिस्ट
sanskarshala,संस्कारशाला
amavasyaki,अमावस्याकी
geyrui,गेरूई
yaab,याब
shwetabj,श्वेताब्ज
nageswara,नागगेश्वर
dehka,दहका
pativedanam,पतिवेदनम्
groupware,ग्रुपवेयर
marehu,मारेहु
governet,गवर्नेट
mahadaridra,महादरिद्र
charthala,चरथला
chaukpuri,चौकपुरी
mtln,एमटीएलएन
baramulti,बारामुल्ती
pricewaterhousecoopers,प्राइसवाटरहाउसकूपर्स
rahajaana,रहजाना
abhyaskramakade,अभ्यासक्रमाकडे
itafaq,इत्तफाक
delany,डिलानी
natikaon,नाटिकाओं
anbu,अंबू
mobdala,मोबदला
yadnagar,यादनगर
samwarddhan,संवर्द्धन
hirado,हिरादो
umranangal,उमरानंगल
galenge,गलेंगे
lohapani,लोहापानी
magadi,मागडी
haydeniana,हैडेनेनिया
bhaterwa,भटेरवा
tivratechi,तीव्रतेची
gyaandaayini,ज्ञानदायिनी
budhepe,बुढ़ेपे
enables,एनब्लेस्
oracea,ओरेशिया
observing,ऑब्जर्विंग
brahmavaivarttapuran,ब्रह्मवैवर्त्तपुराण
deltamethrine,डेल्टामेथ्रीन
tijoriyon,तिजोरियों
mewan,मेवान
miyadad,मियादाद
nehan,नेहान
samajchyavatine,समाजच्यावतीने
raamaji,रामजी
bendbhar,बेंडभर
nfg,एनएफजी
perisar,पेरिसर
widget,विज़ेट
unscamble,अनस्कैम्बल
britanus,ब्रिटनस
vagtam,वागतम
maleka,मलेका
northen,नॉर्थेन
sauravanath,सौरवनाथ
dharakheda,धाराखेड़ा
lahuliye,लाहुलिए
brahmeshwarache,ब्रह्मेश्वराचे
sadvyahar,सदव्यहार
anime,एनाइम
dhaba,ढ़ाबा
karjapatti,कर्जापट्टी
dogaree,डोगरी
vikrisathi,विक्रीसाठी
janakchauk,जनकचौक
balrampar,बलरामपर
haarvard,हारवर्ड
hrivaan,हृवान
digito,डिजिटो
upsoth,उपसोथ
shaharadhyakshanche,शहराध्यक्षांचे
rahvaiya,रहवैया
oveta,ओवेटा
intelcore,इंटेलकोर
khejrali,खेजराली
braithwaite,ब्रेथवेट
kaichi,कैची
tilaya,तिलाया
paraanda,परांदा
ofda,ओएफडीए
raduane,रादुआने
chubhaane,चुभाने
jstc,जेएसटीसी
juniper,जुनीपर
simni,सिमनी
yogilate,योगिलाटे
alankarnol,अलंकरणों
europol,यूरोपॉल
coplements,कॉप्लीमेंट्स
castration,कास्टरेशन
baisran,बैसरान
madhaliwadi,मधलीवाडी
dekhbho,देखभो
kaataan,काटां
sahakarmion,सहकर्मिओं
bsmda,बीएसएमडीए
guerrero,गूरेरो
rakia,राकिया
hopi,होपी
amani,अमनी
budterfly,बडटरफ्लाई
duramani,दुरामणी
tanavjanit,तनावजनित
cytology,साइटोलजी
outstanding,आउटस्टैन्डिंग
sphurtibhari,स्फूर्तिभरी
blaazing,ब्लाज़िंग
rakshaav,रक्षाव
ghumar,घुमार
phuledi,फुलेदी
bhawanimandi,भवानीमण्डी
guns,गंस
shendong,शेंडोंग
guitarist,गिटारिस्ट
overshooting,ओवरसूटिंग
grahpara,ग्रहपारा
dimash,डिमश
fesssenden,फेस्सेंडेन
kanjirapalli,कंजिरापल्लि
syandan,स्यांदन
raimalji,रायमलजी
strangers,स्ट्रेंजर्स
wankhade,वानखड़े
talaiwar,तलाइवार
mazabooriyaan,मज़बूरियां
panchvishi,पंचविशी
phalprad,फलप्रद
suvidhajivita,सुविधाजीविता
approved,अप्रूव्ड
drshyagata,दृश्यगत
alfareen,अलफरीन
commonwealth,कॉमन्वेल्थ
sarvabhutahitprada,सर्वभूतहितप्रदा
shreedat,श्रीदत
ishityari,इशितयारी
rawaane,रवाने
ralang,रालंग
kamsal,कमसल
naamaawalee,नामावली
embera,एम्बेरा
irritated,इरिटेटेड
phulnavati,फुलनवती
aujaaraan,औजारां
mice,माइस
niveshgat,निवेशगत
indrijanya,इन्द्रिजन्य
instrumental,इंस्ट्रुमेंटल
milape,मिलपे
bananyakade,बनण्याकडे
chattle,चैटल
siddhantvetta,सिद्धान्तवेत्ता
jantepur,जनतेपुर
khadayak,खदायक
shuklagandaki,शुक्लगण्डकी
infralinear,इनफ्रालिनीयर
palembang,पलेमबंग
mukulesh,मुकुलेश
globetrotter,ग्लोबेट्रॉटर
shmashanvasi,श्मशानवासी
kasladi,कसलादी
chackposts,चैकपोस्ट्स
shabdarambh,शब्दारंभ
qareebiyaa,क़रीबिया
scaleup,स्केलअप
yingsha,यिंगशा
plfi,पीएलएफआइ
sagaaiyaan,सगाईयाँ
pragyaachi,प्रज्ञाची
outcomes,आउटकम्स
lokparopkari,लोकपरोपकारी
jibipant,जीबीपंत
palosa,पलोसा
bachhod,बछोड़
juben,जुबेन
kanganwa,कंगनवा
korniyaan,कॉर्नियां
chauferi,चौफेरी
giripremicha,गिरीप्रेमीचा
shivpalmay,शिवपालमय
arechi,आरेची
rajnam,राजनाम
ramrajya,रामराज्य
rajiva,राजीवा
kehboob,कहबूब
lokeshsingh,लोकेशसिंह
yahoram,यहोराम
abhyasikechi,अभ्यासिकेची
corian,कोरियन
ayurvedic,आयुर्वेदिक
vanayatri,वनयात्री
tamki,तमकी
sildar,सिलदार
baborer,बाबोरेर
paraglinding,पैराग्लाइंडिंग
pensions,पेंशन्स
collengelo,कोलेंजेलो
annunity,एन्यूनिटी
kukhyaati,कुख्याती
chalnewaalon,चलनेवालों
dugul,दुगुल
suryavihar,सूर्याविहार
murkhataa,मुर्खता
khadiboli,खडीबोली
sevapraday,सेवाप्रदाय
goodalop,गुडालोप
bercu,बर्कू
kalarwale,कलरवाले
burdak,बुरदक
martprise,मार्टप्राइस
barkachha,बरकछा
yusup,युसुप
dinghi,डिंघी
vakatippa,वकाटिप्पा
hidyal,हिदयाल
pallevaya,पल्लेवाया
beshkimati,बेश्कीमती
itkech,इतकेच
chandrayanon,चन्द्रयानों
cycomatic,साइकोमेटिक
polysulphide,पॉलीसल्फाइड
gonhaghat,गोनहाघाट
makkada,मक्कड़ा
connections,कनेक्शनों
lakhataki,लखटकी
girijasthan,गिरिजास्थान
vardam,वर्दम
saalibaada,सालीबाड़ा
shadgrahi,षडग्रही
vayamsevakon,वयंसेवकों
khorana,खुराना
hasaayengi,हसाएंगी
manchin,मैनचिन
bhitarkhane,भितरखाने
moisturising,मॉश्चराइजिंग
avantiraj,अवन्तिराज
cisneros,सिस्नेरोस
rajnash,राजनाश
bandihi,बंदीही
atmanirman,आत्मनिर्माण
sondhul,सोंधुल
tesoro,टेशोरो
shabong,शाबोंग
uninstall,अनइन्स्टॉल
mahapatraji,महापात्राजी
chhedbadlabahut,छेदबदलाबहुत
basoolate,बसूलते
jharavade,झरवड़े
magaliesburg,मागालिसबर्ग
mff,एमएफएफ
pahatepasoonach,पहाटेपासूनच
sheik,शिक
wenlong,वेनलांग
wirt,विर्ट
